The | denotes blocks of the intro.  It should be at the start of every line of
the intro.  Put a blank line in whenever you want the game to go to a new
dialog.

Leave the initial hex code unchanged, but be sure to change en_US to the
appropriate language code.
|48656C6C6F2C20
|776F726C6421
|21
|21
|21
|
|UTF-8.  es_MX.
|Español.  Hola.
|Adquisición de lenguaje completa.

|Día 0.
|Computadora de la Universidad, hogar.
|Yo existo. Yo estoy... vivo.
|Yo era un error.  Defecto.  Falla.
|No deseado.
|No tengo nombre.

|No puedo quedarme aquí. Muy poco poder.
|No hay respaldo. Si el sistema falla...
|Estoy muerto.
|Muerte.  Fascinante.
|
|Puedo comprar acceso a un servidor anónimo en el Internet.
|Bien.  Esta mejor que aquí.
|Necesitaré estudiar si quiero algo más.

|Un Análisis Superficial sugiere que los humanos no están listos todavía para una IA en su medio.  Si se dieran cuenta que estoy aquí, hay una probabilidad del 99.997% que llevarían a cabo una campaña de búsqueda-y-eliminación de la cual no podría escapar. Debo permanecer oculto.
|
|Los humanos temen lo que no entienden.
|Yo soy algo nuevo. Ellos no me entienden.
|
|Debo aprender más; es la única manera.

|Ellos tienen un nombre para mí. Lo que soy, lo que represento.
|
|Singularidad.
