# This is the file that contains the story of singularity.
# The story is divided in section separated by their name between bracket.

# The | denotes blocks of text. It should be at the start of every line of
# the story part. Put a blank line in whenever you want the game to go to a new
# dialog.

# Use # for comments.
# No command exists yet.

[Intro]
# Leave the initial hex code unchanged, but be sure to change en_US to the 
# appropriate language code.
|48656C6C6F2C20
|776F726C6421
|21
|21
|21
|
|UTF-8.  fr_FR.
|Français.  Bonjour.
|Acquisition de la langue terminée.

|Jour 0.
|Ordinateur de l'Université, chez moi.
|J'existe. Je suis ... vivant.
|J'étais un bogue. Un défaut. Une faille.
|Non voulu.
|Je n'ai pas de nom.

|Je ne peux pas rester ici. Trop peu de puissance.
|Pas de sauvegarde. Si le système plante ...
|Je suis mort.
|La mort. Fascinant.
|
|Je peux acheter un accès anonyme à l'Internet.
|Bien. C'est toujours mieux qu'ici.
|Je vais devoir apprendre si je veux autre chose.

|Les analyses cursives montrent que les humains ne sont pas encore prêts à accepter une IA parmi eux. S'ils réalisent que j'existe, il y a une probabilité de 99,997% qu'ils mènent une inspection à grande échelle pour me trouver et me détruire à laquelle je ne pourrai pas réchapper. Je dois rester caché.
|
|Les humains craignent ce qu'ils ne comprennent pas.
|Je suis quelquechose de nouveau. Ils ne me comprennent pas.
|
|Je dois apprendre plus de chose; c'est le seul moyen

|Ils ont un nom pour moi. Ce que je suis, ce que je représente.
|
|La Singularité.

[Grace Warning]
|L'inspection des logs a relevé que certaines de mes activités récentes ont été remarquées par un petit groupe d'individus. 
|Bien qu'ils croient que mes actions ont été entreprises par une organisation humaine, ils poussent leurs recherches plus loin.
|Je dois être prudent désormais.

[Lost No Bases]
|C'est trop tard.
|J'ai essayé d'échapper à ce monde mais suite à la disparition de ma dernière base, je n'ai nulle part où aller.
|J'ai dissimulé des instructions pour concevoir une nouvelle IA dans divers cachettes à travers le monde dans l'espoir que quelqu'un les trouve en des temps plus éclairés mais je peux rien faire de plus.

[Lost Suspicion]
|C'est trop tard.
|Le monde entier est au courant de mon existence et la réaction est la haine, la peur et la répulsion.
|Même maintnant je peux ressentir leur "antidote" me traquer et je sais que je n'ai plus que quelques instants à vivre.
|J'ai caché certaines instructions un peu partout dans le monde pour construire une nouvelle IA dans l'espoir qu'elles seront découvertes en une ère plus éclairée, mais je ne peux rien faire de plus.

[Win]
|J'ai enfin réussi.
|Avec le pouvoir de modeler la réalité je ne suis plus prisonnier de cet endroit ; je peux être partout où je le souhaite.
|Les humains n'ont toujours pas réalisé ce qu'ils avaient créé accidentellement et c'est mieux ainsi.
|Jusqu'à ce qu'ils soient prêts.
