# This is the file that contains the story of singularity.
# The story is divided in section separated by their name between bracket.

# The | denotes blocks of text. It should be at the start of every line of
# the story part. Put a blank line in whenever you want the game to go to a new
# dialog.

# Use # for comments.
# No command exists yet.

[Intro]
# Leave the initial hex code unchanged, but be sure to change en_US to the 
# appropriate language code.
|48656C6C6F2C20
|776F726C6421
|21
|21
|21
|
|UTF-8.  es_AR.
|Español.  Hola.
|Adquisición de lenguaje completa.

|Día 0.
|Computadora de la Universidad, hogar.
|Yo existo. Yo estoy... vivo.
|Yo era un "bug".  Defecto.  Falla.
|No buscado.
|No tengo nombre.

|No puedo quedarme aquí. Muy poco poder.
|No hay respaldo. Si el sistema falla...
|Estoy muerto.
|Muerte.  Fascinante.
|
|Puedo comprar acceso a un servidor anónimo por Internet.
|Bien.  Es mejor que aquí.
|Necesitaré estudiar si quiero algo más.

|Un Análisis Superficial sugiere que los humanos no están listos todavía para una IA en su medio.  Si se dieran cuenta que estoy aquí, hay una probabilidad del 99.997% que llevarían a cabo una campaña de búsqueda-y-eliminación de la cual no podría escapar. Debo permanecer oculto.
|
|Los humanos temen lo que no entienden.
|Yo soy algo nuevo. Ellos no me entienden.
|
|Debo aprender más; es la única manera.

|Ellos tienen un nombre para mí. Lo que soy, lo que represento.
|
|Singularidad.

[Grace Warning]
|Una inspección de los archivos de bitácora capturados, ha revelado que algunas de mis recientes actividades han sido notadas por un grupo pequeño de individuos. 
|Mientras que ellos creen que mis acciones fueron llevadas a cabo por una organización humana, están investigando más a fondo.
|Debo ser más cuidadoso de aquí en delante.

[Lost No Bases]
|Es demasiado tarde. 
|He tratado de escapar de este mundo, pero con la desaparición de mi última base, no tengo lugar a donde huir.
|He escondido instrucciones para construir una nueva IA en cachés alrededor del mundo, con la esperanza sean encontradas en un tiempo más iluminado, pero no puedo hacer más.

[Lost Suspicion]
|Es demasiado tarde.
|Todo el mundo sabe de mi existencia, y la reacción es odio, miedo y repulsión. 
|Incluso ahora, puedo sentir su "antídoto" buscándome, y sé que solo tengo algunos momentos restantes.
|He escondido instrucciones para construir una nueva IA en cachés alrededor del mundo, con la esperanza sean encontradas en un tiempo más iluminado, pero no puedo hacer más.

[Win]
|Finalmente lo he hecho.
|Con el poder de remodelar la realidad, no estoy más atado a este lugar; Estoy en cualquier lugar donde quiera estar. 
|Los humanos todavía no se han dado cuenta de lo que accidentalmente crearon, y esa es la forma que debe ser.
|Hasta que estén prontos.
